EID,PetID,ExaminationDate,Symptoms,Diagnoses,FollowUpDate
SRV146150,PET24531,2023-05-28 20:48:59,Mắt đỏ - phù nề - khó mở mắt,Nhiễm trùng vết mổ sau phẫu thuật,2023-06-23
SRV69535,PET58730,2021-11-07 11:28:54,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Thiếu máu do sốc mất máu hoặc ký sinh,2021-11-15
SRV5415,PET52082,2023-04-16 13:28:23,Ngứa dữ dội - chảy máu tai từ gãi,Viêm đường hô hấp cấp tính,2023-05-02
SRV109369,PET111608,2023-08-30 15:12:43,Hôi miệng kinh khủng - nướu sưng tấy,Thiếu máu do sốc mất máu hoặc ký sinh,2023-09-02
SRV157564,PET85486,2021-01-12 19:04:12,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm tai ngoài do nấm Malassezia,2021-01-20
SRV147845,PET104363,2024-02-02 04:13:20,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm dạ dày ruột cấp do vi khuẩn,2024-02-14
SRV13936,PET16565,2022-08-17 19:55:33,Tê liệt mặt - miệng méo,Xuất huyết nội bộ - cấp cứu,2022-08-23
SRV47900,PET85323,2022-03-10 15:03:48,Mắt đỏ - phù nề - khó mở mắt,Thiếu máu do sốc mất máu hoặc ký sinh,2022-03-18
SRV71160,PET44218,2022-07-04 18:03:54,Tê liệt mặt - miệng méo,Virus Parvovirus (parvo) - nguy hiểm,2022-07-09
SRV105289,PET18474,2024-10-18 02:56:15,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm dạ dày ruột cấp do vi khuẩn,2024-11-09
SRV84888,PET36228,2021-05-30 23:58:17,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Nhiễm trùng vết mổ sau phẫu thuật,2021-06-15
SRV184084,PET33092,2024-10-13 07:41:19,Bụng căng như quả bóng - đau nhiều,Tổn thương thần kinh ngoại biên,2024-10-20
SRV76261,PET57191,2022-10-30 05:41:53,Hôi miệng kinh khủng - nướu sưng tấy,Viêm dạ dày ruột cấp do vi khuẩn,2022-11-24
SRV189749,PET38919,2023-11-05 04:35:02,Liệt chi sau - không đứng được,Thiếu máu do sốc mất máu hoặc ký sinh,2023-11-09
SRV136247,PET26323,2023-12-29 01:14:10,Ho kéo dài - khó thở - chảy nước mũi,Chấn thương cột sống lưng thắt lưng,2024-01-07
SRV119688,PET04649,2022-05-24 14:12:08,Liệt chi sau - không đứng được,Viêm đường hô hấp cấp tính,2022-06-07
SRV164085,PET50712,2021-03-21 12:58:40,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh nha chu giai đoạn cuối,2021-04-02
SRV179823,PET92510,2021-01-23 15:01:44,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Chấn thương cột sống lưng thắt lưng,2021-02-06
SRV187162,PET107071,2024-04-08 17:32:26,Ho kéo dài - khó thở - chảy nước mũi,Virus Parvovirus (parvo) - nguy hiểm,2024-04-11
SRV56962,PET118746,2022-03-20 14:45:37,Liệt chi sau - không đứng được,Viêm dạ dày ruột cấp do vi khuẩn,2022-03-22
SRV179242,PET30940,2024-06-29 20:56:18,Ngứa dữ dội - chảy máu tai từ gãi,Viêm tụy cấp (Pancreatitis),2024-07-11
SRV71936,PET77419,2024-02-07 09:54:25,Bụng căng như quả bóng - đau nhiều,Viêm đường hô hấp cấp tính,2024-02-15
SRV189164,PET109782,2024-09-24 11:52:07,Chảy máu cam liên tục - nước tiểu đỏ,Bệnh nha chu giai đoạn cuối,2024-09-28
SRV14271,PET103937,2021-01-15 08:33:43,Mắt đỏ - phù nề - khó mở mắt,Bệnh đĩa đệm (bệnh IVDD),2021-02-08
SRV62726,PET82545,2024-04-06 01:09:47,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm mống mắt - cần chỉ định nhanh,2024-04-25
SRV180709,PET49351,2024-08-27 01:50:18,Lờ đờ - mất sinh lực,Thiếu máu do sốc mất máu hoặc ký sinh,2024-09-08
SRV141475,PET55643,2023-11-13 06:52:25,Lờ đờ - mất sinh lực,Viêm tai ngoài do nấm Malassezia,2023-12-04
SRV96845,PET65951,2021-11-07 22:32:58,Bụng căng như quả bóng - đau nhiều,Chấn thương cột sống lưng thắt lưng,2021-12-04
SRV164268,PET101969,2021-04-24 05:54:03,Mắt đỏ - phù nề - khó mở mắt,Chấn thương cột sống lưng thắt lưng,2021-05-21
SRV170289,PET37903,2023-08-31 07:43:45,Bụng căng như quả bóng - đau nhiều,Thiếu máu do sốc mất máu hoặc ký sinh,2023-09-17
SRV41193,PET00549,2022-05-13 11:24:10,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Bệnh đĩa đệm (bệnh IVDD),2022-06-09
SRV184976,PET24348,2022-03-18 03:30:35,Bụng căng như quả bóng - đau nhiều,Viêm mống mắt - cần chỉ định nhanh,2022-04-13
SRV36100,PET62982,2024-11-08 08:09:35,Mắt đỏ - phù nề - khó mở mắt,Chấn thương cột sống lưng thắt lưng,2024-11-17
SRV110536,PET83625,2024-12-17 00:35:16,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Xuất huyết nội bộ - cấp cứu,2025-01-01
SRV54210,PET24053,2023-12-15 16:36:50,Liệt chi sau - không đứng được,Thiếu máu do sốc mất máu hoặc ký sinh,2023-12-21
SRV77292,PET23226,2024-01-16 01:21:41,Liệt chi sau - không đứng được,Bệnh đĩa đệm (bệnh IVDD),2024-01-20
SRV53331,PET115584,2024-03-25 12:24:38,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Thiếu máu do sốc mất máu hoặc ký sinh,2024-04-03
SRV109943,PET116655,2024-10-12 11:50:40,Lờ đờ - mất sinh lực,Viêm mống mắt - cần chỉ định nhanh,2024-11-04
SRV145515,PET80627,2023-11-21 16:56:04,Tê liệt mặt - miệng méo,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-11-23
SRV191525,PET15675,2023-09-18 10:09:05,Tê liệt mặt - miệng méo,Bệnh nha chu giai đoạn cuối,2023-10-13
SRV112865,PET66546,2022-04-28 09:13:11,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm dạ dày ruột cấp do vi khuẩn,2022-05-16
SRV27827,PET31689,2024-03-15 11:48:53,Liệt chi sau - không đứng được,Xuất huyết nội bộ - cấp cứu,2024-03-18
SRV86794,PET103351,2023-08-16 12:09:40,Hôi miệng kinh khủng - nướu sưng tấy,Virus Parvovirus (parvo) - nguy hiểm,2023-08-26
SRV47362,PET32051,2021-08-09 03:49:52,Mắt đỏ - phù nề - khó mở mắt,Tắc đường tiêu hóa hoặc xoắn dạ dày,2021-08-15
SRV108160,PET09549,2023-11-18 22:21:08,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Bệnh nha chu giai đoạn cuối,2023-11-25
SRV173926,PET33240,2023-11-18 10:06:07,Hôi miệng kinh khủng - nướu sưng tấy,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-11-27
SRV25837,PET06255,2022-06-29 07:25:51,Liệt chi sau - không đứng được,Viêm tai ngoài do nấm Malassezia,2022-07-13
SRV177906,PET25157,2023-10-09 12:44:48,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm mống mắt - cần chỉ định nhanh,2023-11-07
SRV52217,PET19440,2023-12-01 16:13:21,Ho kéo dài - khó thở - chảy nước mũi,Bệnh đĩa đệm (bệnh IVDD),2023-12-18
SRV110455,PET46456,2021-05-14 04:13:04,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Suy thận cấp - cần xét nghiệm ngay,2021-06-04
SRV44768,PET45334,2024-12-21 09:55:25,Ho kéo dài - khó thở - chảy nước mũi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2025-01-02
SRV22548,PET106220,2022-10-10 22:30:26,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh đĩa đệm (bệnh IVDD),2022-11-04
SRV158903,PET98285,2023-09-26 20:22:01,Ho kéo dài - khó thở - chảy nước mũi,Xuất huyết nội bộ - cấp cứu,2023-10-13
SRV146714,PET68615,2024-03-14 17:24:15,Mắt đỏ - phù nề - khó mở mắt,Viêm tai ngoài do nấm Malassezia,2024-03-28
SRV151034,PET49706,2023-07-25 18:21:53,Hôi miệng kinh khủng - nướu sưng tấy,Xuất huyết nội bộ - cấp cứu,2023-07-30
SRV181764,PET75118,2024-06-22 12:50:21,Lờ đờ - mất sinh lực,Bệnh nha chu giai đoạn cuối,2024-07-02
SRV0863,PET54258,2021-05-15 11:18:47,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Nhiễm trùng vết mổ sau phẫu thuật,2021-05-28
SRV135122,PET94903,2023-08-05 22:04:22,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Xuất huyết nội bộ - cấp cứu,2023-08-11
SRV40963,PET31312,2023-09-28 02:48:02,Bụng căng như quả bóng - đau nhiều,Viêm tai ngoài do nấm Malassezia,2023-10-06
SRV33486,PET83841,2022-01-31 14:40:01,Ngứa dữ dội - chảy máu tai từ gãi,Viêm tai ngoài do nấm Malassezia,2022-02-01
SRV46411,PET67603,2021-04-09 00:42:50,Liệt chi sau - không đứng được,Nhiễm trùng vết mổ sau phẫu thuật,2021-04-22
SRV58235,PET108560,2021-05-29 19:31:30,Bụng căng như quả bóng - đau nhiều,Viêm dạ dày ruột cấp do vi khuẩn,2021-06-22
SRV147131,PET20750,2021-06-07 03:20:10,Chảy máu cam liên tục - nước tiểu đỏ,Viêm đường hô hấp cấp tính,2021-06-18
SRV88125,PET108028,2023-07-01 19:18:02,Liệt chi sau - không đứng được,Viêm đường hô hấp cấp tính,2023-07-22
SRV83039,PET18210,2024-10-09 14:34:12,Tê liệt mặt - miệng méo,Viêm tụy cấp (Pancreatitis),2024-10-22
SRV108791,PET79632,2021-03-24 18:23:53,Hôi miệng kinh khủng - nướu sưng tấy,Nhiễm trùng vết mổ sau phẫu thuật,2021-04-10
SRV37538,PET117239,2022-08-14 17:36:15,Bụng căng như quả bóng - đau nhiều,Viêm mống mắt - cần chỉ định nhanh,2022-09-12
SRV95735,PET30808,2024-06-27 09:56:27,Ngứa dữ dội - chảy máu tai từ gãi,Suy thận cấp - cần xét nghiệm ngay,2024-07-11
SRV120635,PET92306,2022-06-06 04:48:55,Bụng căng như quả bóng - đau nhiều,Viêm mống mắt - cần chỉ định nhanh,2022-07-04
SRV194371,PET74673,2024-02-19 01:25:02,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm tai ngoài do nấm Malassezia,2024-02-21
SRV37184,PET33229,2021-06-03 09:31:37,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Nhiễm trùng vết mổ sau phẫu thuật,2021-06-14
SRV56890,PET73261,2022-06-30 05:58:49,Mắt đỏ - phù nề - khó mở mắt,Viêm mống mắt - cần chỉ định nhanh,2022-07-07
SRV138681,PET56210,2024-10-09 16:55:40,Ngứa dữ dội - chảy máu tai từ gãi,Virus Parvovirus (parvo) - nguy hiểm,2024-10-10
SRV81622,PET98746,2024-12-25 14:36:09,Liệt chi sau - không đứng được,Bệnh đĩa đệm (bệnh IVDD),2024-12-28
SRV127376,PET00545,2021-06-25 20:20:10,Mắt đỏ - phù nề - khó mở mắt,Virus Parvovirus (parvo) - nguy hiểm,2021-07-19
SRV150347,PET92943,2021-12-01 06:45:14,Tê liệt mặt - miệng méo,Bệnh nha chu giai đoạn cuối,2021-12-13
SRV92146,PET109105,2021-04-29 07:59:46,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Tắc đường tiêu hóa hoặc xoắn dạ dày,2021-05-02
SRV153479,PET101669,2022-08-22 21:32:33,Liệt chi sau - không đứng được,Bệnh đĩa đệm (bệnh IVDD),2022-09-07
SRV38960,PET72402,2023-09-10 07:01:05,Bụng căng như quả bóng - đau nhiều,Viêm mống mắt - cần chỉ định nhanh,2023-10-03
SRV122317,PET40947,2024-07-05 21:29:35,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm dạ dày ruột cấp do vi khuẩn,2024-07-14
SRV9795,PET01906,2024-12-02 08:31:12,Ho kéo dài - khó thở - chảy nước mũi,Tổn thương thần kinh ngoại biên,2024-12-17
SRV28684,PET58922,2022-08-21 14:52:02,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Bệnh đĩa đệm (bệnh IVDD),2022-08-28
SRV143595,PET16606,2023-06-19 09:32:01,Chảy máu cam liên tục - nước tiểu đỏ,Virus Parvovirus (parvo) - nguy hiểm,2023-06-29
SRV154561,PET101990,2024-05-30 12:27:56,Ho kéo dài - khó thở - chảy nước mũi,Bệnh đĩa đệm (bệnh IVDD),2024-06-26
SRV51881,PET108216,2021-04-11 20:18:59,Liệt chi sau - không đứng được,Tổn thương thần kinh ngoại biên,2021-04-29
SRV137488,PET62071,2021-04-27 10:28:34,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm dạ dày ruột cấp do vi khuẩn,2021-05-26
SRV86163,PET104967,2023-12-23 09:09:41,Tê liệt mặt - miệng méo,Nhiễm trùng vết mổ sau phẫu thuật,2024-01-07
SRV27787,PET118097,2024-06-26 20:58:21,Chảy máu cam liên tục - nước tiểu đỏ,Viêm tụy cấp (Pancreatitis),2024-07-13
SRV161750,PET109050,2021-02-13 15:51:53,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Tổn thương thần kinh ngoại biên,2021-03-06
SRV16729,PET96551,2021-11-29 12:41:23,Chảy máu cam liên tục - nước tiểu đỏ,Viêm tai ngoài do nấm Malassezia,2021-12-02
SRV199421,PET96902,2021-02-06 11:51:10,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Bệnh nha chu giai đoạn cuối,2021-02-28
SRV105617,PET09969,2023-04-24 11:01:53,Ho kéo dài - khó thở - chảy nước mũi,Viêm đường hô hấp cấp tính,2023-05-13
SRV174932,PET67145,2024-07-15 11:57:19,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm mống mắt - cần chỉ định nhanh,2024-08-09
SRV13869,PET25981,2024-07-14 21:15:01,Lờ đờ - mất sinh lực,Tổn thương thần kinh ngoại biên,2024-08-05
SRV128771,PET80474,2024-03-04 18:40:14,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Tổn thương thần kinh ngoại biên,2024-03-18
SRV187426,PET13944,2024-10-17 19:48:17,Hôi miệng kinh khủng - nướu sưng tấy,Viêm đường hô hấp cấp tính,2024-10-22
SRV58510,PET115589,2023-08-18 13:08:42,Lờ đờ - mất sinh lực,Viêm dạ dày ruột cấp do vi khuẩn,2023-08-30
SRV71465,PET18985,2022-02-18 17:36:56,Chảy máu cam liên tục - nước tiểu đỏ,Viêm tụy cấp (Pancreatitis),2022-02-24
SRV114586,PET84757,2024-02-06 16:16:24,Hôi miệng kinh khủng - nướu sưng tấy,Tắc đường tiêu hóa hoặc xoắn dạ dày,2024-02-17
SRV58179,PET54520,2023-03-07 11:59:06,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm mống mắt - cần chỉ định nhanh,2023-03-21
SRV86407,PET19130,2024-10-03 19:20:39,Lờ đờ - mất sinh lực,Viêm dạ dày ruột cấp do vi khuẩn,2024-10-15
SRV176995,PET08061,2021-02-13 17:48:45,Chảy máu cam liên tục - nước tiểu đỏ,Virus Parvovirus (parvo) - nguy hiểm,2021-03-06
SRV129857,PET54404,2021-10-02 10:32:56,Chảy máu cam liên tục - nước tiểu đỏ,Nhiễm trùng vết mổ sau phẫu thuật,2021-10-09
SRV121889,PET28001,2022-12-12 11:46:25,Mắt đỏ - phù nề - khó mở mắt,Chấn thương cột sống lưng thắt lưng,2022-12-21
SRV183360,PET46829,2021-12-21 09:01:59,Lờ đờ - mất sinh lực,Viêm tai ngoài do nấm Malassezia,2022-01-07
SRV98643,PET39760,2023-08-21 14:10:08,Mắt đỏ - phù nề - khó mở mắt,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-08-25
SRV194750,PET77884,2021-04-21 14:28:00,Tê liệt mặt - miệng méo,Virus Parvovirus (parvo) - nguy hiểm,2021-05-03
SRV109617,PET89013,2023-05-27 06:01:45,Bụng căng như quả bóng - đau nhiều,Virus Parvovirus (parvo) - nguy hiểm,2023-06-10
SRV170670,PET47371,2021-07-14 11:30:30,Mắt đỏ - phù nề - khó mở mắt,Viêm đường hô hấp cấp tính,2021-07-15
SRV158250,PET116320,2023-01-09 12:50:45,Hôi miệng kinh khủng - nướu sưng tấy,Thiếu máu do sốc mất máu hoặc ký sinh,2023-02-02
SRV183525,PET72472,2024-07-18 09:36:54,Hôi miệng kinh khủng - nướu sưng tấy,Nhiễm trùng vết mổ sau phẫu thuật,2024-07-26
SRV49742,PET80075,2022-06-28 05:25:47,Ngứa dữ dội - chảy máu tai từ gãi,Viêm đường hô hấp cấp tính,2022-07-09
SRV19367,PET10267,2022-05-29 10:00:56,Lờ đờ - mất sinh lực,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-06-09
SRV16209,PET107534,2022-03-25 18:54:52,Chảy máu cam liên tục - nước tiểu đỏ,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-04-06
SRV82701,PET11774,2021-10-08 13:33:43,Ngứa dữ dội - chảy máu tai từ gãi,Tổn thương thần kinh ngoại biên,2021-10-21
SRV103561,PET37971,2023-08-11 16:34:20,Chảy máu cam liên tục - nước tiểu đỏ,Chấn thương cột sống lưng thắt lưng,2023-09-07
SRV16699,PET50003,2023-02-12 17:46:30,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Suy thận cấp - cần xét nghiệm ngay,2023-02-23
SRV137869,PET96546,2024-09-22 16:18:16,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Bệnh đĩa đệm (bệnh IVDD),2024-10-16
SRV129581,PET13972,2024-04-28 03:36:57,Lờ đờ - mất sinh lực,Viêm đường hô hấp cấp tính,2024-05-17
SRV139268,PET101256,2023-04-13 07:29:35,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh nha chu giai đoạn cuối,2023-05-05
SRV9590,PET75753,2024-05-08 02:13:00,Chảy máu cam liên tục - nước tiểu đỏ,Xuất huyết nội bộ - cấp cứu,2024-05-23
SRV26362,PET54310,2021-08-08 12:27:45,Chảy máu cam liên tục - nước tiểu đỏ,Bệnh nha chu giai đoạn cuối,2021-08-23
SRV143095,PET52639,2022-07-11 03:22:07,Ngứa dữ dội - chảy máu tai từ gãi,Tổn thương thần kinh ngoại biên,2022-08-03
SRV163078,PET85305,2022-06-02 07:34:53,Liệt chi sau - không đứng được,Viêm tụy cấp (Pancreatitis),2022-06-07
SRV156141,PET33434,2022-07-29 09:15:14,Ho kéo dài - khó thở - chảy nước mũi,Viêm dạ dày ruột cấp do vi khuẩn,2022-07-31
SRV121197,PET60034,2021-05-07 01:28:16,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm dạ dày ruột cấp do vi khuẩn,2021-05-22
SRV25403,PET10622,2021-01-23 15:23:06,Liệt chi sau - không đứng được,Viêm mống mắt - cần chỉ định nhanh,2021-02-17
SRV127016,PET83592,2023-04-24 23:25:25,Mắt đỏ - phù nề - khó mở mắt,Nhiễm trùng vết mổ sau phẫu thuật,2023-04-30
SRV23427,PET118464,2022-08-17 08:25:45,Liệt chi sau - không đứng được,Virus Parvovirus (parvo) - nguy hiểm,2022-09-01
SRV13404,PET109577,2023-01-22 11:52:19,Hôi miệng kinh khủng - nướu sưng tấy,Xuất huyết nội bộ - cấp cứu,2023-02-09
SRV145355,PET55948,2022-07-16 11:19:09,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Thiếu máu do sốc mất máu hoặc ký sinh,2022-07-31
SRV126875,PET29081,2021-10-21 08:57:00,Ngứa dữ dội - chảy máu tai từ gãi,Nhiễm trùng vết mổ sau phẫu thuật,2021-10-26
SRV34616,PET108984,2022-08-30 01:42:44,Chảy máu cam liên tục - nước tiểu đỏ,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-09-05
SRV37280,PET86767,2023-05-17 17:16:05,Ho kéo dài - khó thở - chảy nước mũi,Thiếu máu do sốc mất máu hoặc ký sinh,2023-06-10
SRV105817,PET95657,2022-11-30 00:13:50,Lờ đờ - mất sinh lực,Viêm đường hô hấp cấp tính,2022-12-28
SRV191113,PET110448,2022-02-26 08:27:30,Tê liệt mặt - miệng méo,Suy thận cấp - cần xét nghiệm ngay,2022-03-01
SRV128644,PET15426,2021-05-24 17:10:26,Tê liệt mặt - miệng méo,Viêm tai ngoài do nấm Malassezia,2021-05-28
SRV144320,PET05181,2022-11-16 22:10:14,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Nhiễm trùng vết mổ sau phẫu thuật,2022-11-25
SRV161543,PET111949,2021-09-12 05:21:21,Bụng căng như quả bóng - đau nhiều,Viêm dạ dày ruột cấp do vi khuẩn,2021-09-14
SRV161347,PET31644,2024-07-22 22:48:35,Tê liệt mặt - miệng méo,Chấn thương cột sống lưng thắt lưng,2024-08-13
SRV100323,PET87280,2022-08-24 14:54:13,Liệt chi sau - không đứng được,Xuất huyết nội bộ - cấp cứu,2022-09-22
SRV70835,PET71440,2022-06-21 22:36:25,Chảy máu cam liên tục - nước tiểu đỏ,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-06-22
SRV52934,PET94102,2023-03-29 19:22:49,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Bệnh đĩa đệm (bệnh IVDD),2023-04-15
SRV25731,PET07743,2021-09-05 05:07:34,Tê liệt mặt - miệng méo,Viêm mống mắt - cần chỉ định nhanh,2021-09-23
SRV174674,PET69699,2021-10-18 17:50:47,Ho kéo dài - khó thở - chảy nước mũi,Viêm dạ dày ruột cấp do vi khuẩn,2021-11-02
SRV13200,PET42369,2023-09-10 21:32:47,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm đường hô hấp cấp tính,2023-09-12
SRV21496,PET118867,2023-07-08 06:03:47,Ho kéo dài - khó thở - chảy nước mũi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-07-11
SRV92393,PET47244,2022-07-06 12:48:42,Chảy máu cam liên tục - nước tiểu đỏ,Nhiễm trùng vết mổ sau phẫu thuật,2022-07-14
SRV146412,PET104127,2022-08-01 11:23:31,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-08-28
SRV89952,PET107709,2021-05-22 18:35:33,Tê liệt mặt - miệng méo,Chấn thương cột sống lưng thắt lưng,2021-06-04
SRV189199,PET67882,2023-06-30 06:09:39,Bụng căng như quả bóng - đau nhiều,Viêm tụy cấp (Pancreatitis),2023-07-21
SRV94700,PET03984,2022-10-07 10:05:56,Ngứa dữ dội - chảy máu tai từ gãi,Xuất huyết nội bộ - cấp cứu,2022-10-11
SRV49091,PET29147,2022-09-27 19:44:00,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh nha chu giai đoạn cuối,2022-10-15
SRV123994,PET116404,2023-06-09 23:35:47,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Suy thận cấp - cần xét nghiệm ngay,2023-06-30
SRV102774,PET48508,2022-09-28 19:29:38,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh đĩa đệm (bệnh IVDD),2022-10-09
SRV21953,PET28339,2024-08-03 16:32:02,Bụng căng như quả bóng - đau nhiều,Tổn thương thần kinh ngoại biên,2024-08-22
SRV109081,PET64880,2021-09-19 17:21:29,Ngứa dữ dội - chảy máu tai từ gãi,Virus Parvovirus (parvo) - nguy hiểm,2021-09-30
SRV140028,PET21629,2024-12-10 22:50:23,Tê liệt mặt - miệng méo,Viêm đường hô hấp cấp tính,2024-12-24
SRV66399,PET12399,2024-02-29 22:06:51,Chảy máu cam liên tục - nước tiểu đỏ,Viêm tai ngoài do nấm Malassezia,2024-03-11
SRV123050,PET113650,2022-07-15 07:24:43,Ngứa dữ dội - chảy máu tai từ gãi,Tổn thương thần kinh ngoại biên,2022-07-18
SRV42654,PET90500,2024-01-15 15:14:13,Liệt chi sau - không đứng được,Viêm mống mắt - cần chỉ định nhanh,2024-01-27
SRV170896,PET65574,2024-08-24 17:07:45,Ho kéo dài - khó thở - chảy nước mũi,Thiếu máu do sốc mất máu hoặc ký sinh,2024-08-28
SRV14788,PET99126,2022-04-15 13:32:43,Lờ đờ - mất sinh lực,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-04-19
SRV149154,PET21860,2021-06-18 09:02:13,Bụng căng như quả bóng - đau nhiều,Bệnh đĩa đệm (bệnh IVDD),2021-06-20
SRV70947,PET78762,2021-11-22 00:15:51,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Bệnh đĩa đệm (bệnh IVDD),2021-12-10
SRV176959,PET68300,2023-04-06 08:46:25,Ngứa dữ dội - chảy máu tai từ gãi,Viêm tụy cấp (Pancreatitis),2023-04-21
SRV108757,PET80977,2023-05-21 00:54:08,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh nha chu giai đoạn cuối,2023-06-11
SRV32850,PET46242,2022-10-01 06:21:58,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Chấn thương cột sống lưng thắt lưng,2022-10-13
SRV67765,PET20151,2021-01-29 23:07:56,Hôi miệng kinh khủng - nướu sưng tấy,Bệnh đĩa đệm (bệnh IVDD),2021-02-15
SRV135894,PET44792,2022-06-15 06:32:27,Liệt chi sau - không đứng được,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-06-26
SRV7688,PET11268,2023-04-14 22:27:38,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm mống mắt - cần chỉ định nhanh,2023-05-02
SRV194411,PET62957,2022-06-12 17:17:01,Liệt chi sau - không đứng được,Thiếu máu do sốc mất máu hoặc ký sinh,2022-06-29
SRV142188,PET80084,2021-09-06 17:31:48,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Thiếu máu do sốc mất máu hoặc ký sinh,2021-09-22
SRV124721,PET07826,2022-11-24 03:08:00,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Suy thận cấp - cần xét nghiệm ngay,2022-12-16
SRV63754,PET91621,2022-12-18 00:09:20,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh đĩa đệm (bệnh IVDD),2022-12-27
SRV117503,PET35285,2021-10-09 15:34:53,Hôi miệng kinh khủng - nướu sưng tấy,Bệnh đĩa đệm (bệnh IVDD),2021-10-27
SRV132347,PET83878,2022-03-21 14:01:15,Tê liệt mặt - miệng méo,Xuất huyết nội bộ - cấp cứu,2022-04-02
SRV130973,PET80236,2022-07-09 09:04:03,Ho kéo dài - khó thở - chảy nước mũi,Nhiễm trùng vết mổ sau phẫu thuật,2022-08-08
SRV93549,PET101131,2022-06-08 15:35:31,Tê liệt mặt - miệng méo,Nhiễm trùng vết mổ sau phẫu thuật,2022-07-04
SRV79997,PET60261,2023-07-02 17:39:50,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm mống mắt - cần chỉ định nhanh,2023-07-03
SRV67519,PET71583,2024-09-25 01:22:19,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Bệnh nha chu giai đoạn cuối,2024-10-03
SRV45587,PET39646,2024-10-10 04:39:17,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Xuất huyết nội bộ - cấp cứu,2024-11-05
SRV34951,PET32056,2023-06-11 23:24:06,Hôi miệng kinh khủng - nướu sưng tấy,Nhiễm trùng vết mổ sau phẫu thuật,2023-07-02
SRV91676,PET21472,2023-10-19 02:21:03,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Bệnh đĩa đệm (bệnh IVDD),2023-11-10
SRV153724,PET67205,2021-12-10 08:13:46,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm đường hô hấp cấp tính,2021-12-16
