CertificateID,Name,IssueDate,IssueOrganization
CER0281,Chứng chỉ Bệnh học Thú y,2010-08-04,Viện Nông nghiệp Australia
CER0282,Chứng chỉ Phòng chống bệnh truyền nhiễm,2010-08-26,Viện Pasteur Nha Trang
CER0283,Chứng chỉ Phòng chống bệnh truyền nhiễm,2016-12-06,Tổ chức Thú y Quốc tế (OIE)
CER0284,Chứng chỉ Dinh dưỡng Thú y,2010-02-20,Viện Pasteur Nha Trang
CER0285,Chứng chỉ Phẫu thuật Tim mạch,2022-09-14,Trường Đại học Kasetsart Thái Lan
CER0286,Chứng chỉ Pháp y Thú y,2011-07-25,Viện Pasteur Nha Trang
CER0287,Bằng Tiến sĩ Thú y,2012-01-22,Bệnh viện Thú y Quốc gia
CER0288,Chứng chỉ Ngoại khoa Thú y,2014-10-29,Đại học Cornell
CER0289,Chứng chỉ Sinh sản Thú y,2020-03-05,Tổ chức Thú y Quốc tế (OIE)
CER0290,Chứng chỉ Nha y Thú y,2018-04-20,Hiệp hội Thú y Việt Nam
CER0291,Chứng chỉ Anestesia Thú y,2022-09-24,Viện Nông nghiệp Australia
CER0292,Bằng Đại học Thú y,2011-03-07,Viện Pasteur Nha Trang
CER0293,Chứng chỉ Nha y Thú y,2023-11-10,Trường Đại học Nông Lâm TP.HCM
CER0294,Bằng Đại học Thú y,2016-02-08,Đại học California
CER0295,Chứng chỉ Sinh sản Thú y,2020-11-22,Viện Nông nghiệp Australia
CER0296,Chứng chỉ Bệnh da liễu Thú y,2019-04-16,Hiệp hội Thú y Việt Nam
CER0297,Chứng chỉ Siêu âm chẩn đoán,2021-06-29,Trường Đại học Thú y Hà Nội
CER0298,Chứng chỉ Dinh dưỡng Thú y,2019-08-23,Trường Đại học Thú y Hà Nội
CER0299,Chứng chỉ Quản lý bệnh viện Thú y,2023-04-21,Đại học California
CER0300,Chứng chỉ Ngoại khoa Thú y,2016-12-01,Trường Đại học Nông Lâm TP.HCM
